taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
PCOQ,5701,N,F,JULIA,N,120,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1985-12-30,8.5,NA,NA,8.5,2,Y,4319,1982-05-07,5,1771,253,58.22,58,4.85,NA,NA,NA,1333,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5701,N,F,JULIA,N,120,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1985-12-30,8.5,NA,NA,8.5,2,Y,3610,1982-05-13,5,1777,253.86,58.42,58,4.87,-709,6,-118.17,1327,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5701,N,F,JULIA,N,120,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1985-12-30,8.5,NA,NA,8.5,2,Y,4075,1982-09-14,9,1901,271.57,62.5,62,5.21,465,124,3.75,1203,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5703,N,F,CORNELIA,N,121,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1995-05-29,17.92,NA,NA,17.92,9,Y,4313,1982-05-07,5,1771,253,58.22,58,4.85,NA,NA,NA,4770,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5703,N,F,CORNELIA,N,121,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1995-05-29,17.92,NA,NA,17.92,9,Y,3672,1982-05-13,5,1777,253.86,58.42,58,4.87,-641,6,-106.83,4764,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5703,N,F,CORNELIA,N,121,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1995-05-29,17.92,NA,NA,17.92,9,Y,4200,1982-07-11,7,1836,262.29,60.36,60,5.03,528,59,8.95,4705,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5703,N,F,CORNELIA,N,121,1977-07-01,7,Y,WB,Madagascar /,NA,160,1977-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1995-05-29,17.92,NA,NA,17.92,9,Y,4279,1982-10-06,10,1923,274.71,63.22,63,5.27,79,87,0.91,4618,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,4143,1982-05-07,5,1406,200.86,46.22,46,3.85,NA,NA,NA,1380,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3392,1982-05-13,5,1412,201.71,46.42,46,3.87,-751,6,-125.17,1374,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3546,1982-05-24,5,1423,203.29,46.78,46,3.9,154,11,14,1363,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3432,1982-06-15,6,1445,206.43,47.51,47,3.96,-114,22,-5.18,1341,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,4131,1982-08-05,8,1496,213.71,49.18,49,4.1,699,51,13.71,1290,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,4136,1982-10-03,10,1555,222.14,51.12,51,4.26,5,59,0.08,1231,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,4100,1982-10-06,10,1558,222.57,51.22,51,4.27,-36,3,-12,1228,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3804,1982-10-26,10,1578,225.43,51.88,51,4.32,-296,20,-14.8,1208,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5704,N,M,AUGUSTUS II,N,123,1978-07-01,7,Y,WB,Madagascar /,NA,160,1978-01-22,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1986-02-15,7.63,NA,NA,7.63,2,Y,3737,1982-11-30,11,1613,230.43,53.03,53,4.42,-67,35,-1.91,1173,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
